index,BVDV_result,IgG_Status,Species,abdomen_pingsounds,abdomenauscultation_notes,age_units,age_weeks,age,anaplasma_centrale_result,anaplasma_marginale_result,attitude,babesia_bigemina_result,babesia_bovis_result,bedding,bedding_dryandclean,birth_witness,birthlocation,breed_name,breed,calf_bcs,calfgrouphousing_enoughspace,calfhousedwithdam,calfhousewithotherlivestock,coccidia_result,coccidia_species_result,colostrumwithin24hours,continuousaccesstodamfirst24hours,corona_result,cough_score,coughing,crackles,crypto_result,dam_ageparturition_years,dam_alive,dam_bcs1to5,dam_deathwithin2weeksparturition,dam_milkyield_liters,dam_motheringinstinct,dam_vaccines2monthsbeforedelivery,dam_vaccines_type,district,ear_score,ecoli_result,eye_score,fecal_score_Y1Y2,feces_blood,feedingfrequency,feedmilkormilkreplacer,feedmilkormilkreplacer_liters,generalnotes,heart_abnormalsounds,heart_rate_perminute,housingseparatefromherd,increased_respiratoryeffort,jointsexam,jointsexam_notes,kebele,lungsounds_muffled,m_hemolytica_result,medicationsincebirth,medicationsincebirth_dewormer,medicationsincebirth_oralelectrolytes,medicationsincebirth_other,medicationsincebirth_vitamins,nasaldischarge_score,navel,naveldesinfection,navelexam_notes,p_multocida_result,parasitology_other_result,parity,peristalticsounds_increased,proceduredone_branding,proceduredone_castration,proceduredone_dehorning,proceduredone_earnotch,proceduredone_taildocking,prod_system,reasonnocolostrumfedwithin24hours,rectal_temp,rectal_temp_score,respiratory_rate_perminute,result_ADV,result_BRSV,result_IBR,result_IgG,result_IgG_concentration,result_PIV3,result_RID,result_ascaris,result_fasciola,result_monezia,result_paramphistom,result_salmonella_enterica,result_schistosoma,result_strongly,result_trichuris,rota_result,ruminalcontractions_perminute,sex,signsofillness_birthdefects,signsofillness_bleedingorifices,signsofillness_bloat,signsofillness_circling,signsofillness_cloudyeyes,signsofillness_collapse,signsofillness_cough,signsofillness_diarrhea_notbloody,signsofillness_difficulturination,signsofillness_difficultybreathing,signsofillness_headtilt,signsofillness_lameness,signsofillness_nasaldischarge,signsofillness_navelinfection,signsofillness_notsuckling,signsofillness_oculardischarge,signsofillness_other,signsofillness_predation,signsofillness_sincebirth,signsofillness_straindefecate,signsofillness_swollenjoints,signsofillness_trauma,sire,supplementalfeed,supplementalfeed_frequency,test_kit,thoracicauscultation_notes,timeofbirth,typedelivery,typeofvaccinesreceived,vaccinationssincebirth,watergiven,watergiven_frequency,watergiven_independentwatertrough,weaned,weaned_accesstowater_hours_rainyseason,weaned_agemonths,weaned_concentratefed_dryseason,weaned_concentratefed_rainyseason,weaned_grazinghours_dryseason,weaned_grazinghours_rainyseason,weaned_hay_dryseason,weaned_hay_rainyseason,wheezes,year,logage
243,NA,NA,NA,NA,NA,months,4,1,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,no,yes,NA,0,no,NA,NA,10,yes,3,no,8,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,92,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,37.8,0,32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,assisted/dystocia,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0
244,NA,NA,NA,NA,NA,months,12,3,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,9,yes,3,no,9,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,92,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,3,NA,no,no,no,no,no,Peri-urban,NA,38.5,1,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.0986122886681098
245,NA,NA,NA,NA,NA,months,12,3,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,12,yes,3,no,7,good,yes,anthrax vaccine,Gondar,1,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,88,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,37.7,0,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,night,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.0986122886681098
246,NA,NA,NA,NA,NA,months,20,5,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,12,yes,3,no,3,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,120,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,37.8,0,32,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,no,twice a day,NA,Normal respiratory sound and heart beat,night,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.6094379124341003
247,NA,NA,NA,NA,NA,months,4,1,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,9,yes,3,no,5,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,108,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,38.8,1,24,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,night,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0
248,NA,NA,NA,NA,NA,weeks,3,3,NA,NA,Depressed/Lethargic,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,12,yes,3,no,9,good,yes,anthrax vaccine,Gondar,1,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,100,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,38.3,1,28,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.0986122886681098
249,NA,NA,NA,NA,NA,months,16,4,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,10,yes,3,no,4,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,92,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,38.8,1,32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.3862943611198906
250,NA,NA,NA,NA,NA,months,16,4,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,12,yes,3,no,4,good,yes,anthrax vaccine,Gondar,2,NA,NA,0,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,88,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,3,NA,no,no,no,no,no,Peri-urban,NA,38.4,1,32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,night,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.3862943611198906
251,NA,NA,NA,NA,NA,months,16,4,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,no,yes,NA,0,no,NA,NA,12,yes,3,no,4,good,yes,anthrax vaccine,Gondar,1,NA,NA,0,no,Twice/day,yes milk,greater than 1 liter,NORMAL,NA,92,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,39,2,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.3862943611198906
252,NA,NA,NA,NA,NA,months,8,2,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,9,yes,3,no,7,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,less than half liter,NORMAL,NA,72,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,39,2,24,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,night,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0.6931471805599453
253,NA,NA,NA,NA,NA,months,4,1,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,8,yes,3,no,8,good,yes,anthrax vaccine,Gondar,0,NA,NA,0,no,Twice/day,yes milk,greater than 1 liter,NORMAL,NA,72,yes,1,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,3,NA,no,no,no,no,no,Peri-urban,NA,37.7,0,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0
254,NA,NA,NA,NA,NA,months,4,1,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,9,yes,2,no,6,good,yes,anthrax vaccine,Gondar,1,NA,NA,0,no,Twice/day,yes milk,greater than 1 liter,NORMAL,NA,76,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,3,NA,no,no,no,no,no,Peri-urban,NA,37.8,0,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0
255,NA,NA,NA,NA,NA,months,24,6,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,8,yes,2,no,5,good,yes,anthrax vaccine,Gondar,0,NA,NA,1,no,Twice/day,yes milk,less than half liter,NORMAL,NA,80,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,38,0,32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.791759469228055
256,NA,NA,NA,NA,NA,months,12,3,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,9,yes,2,no,6,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,greater than 1 liter,NORMAL,NA,100,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,39.2,2,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.0986122886681098
257,NA,NA,NA,NA,NA,months,4,1,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,In barn,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,7,yes,3,no,4,good,yes,anthrax vaccine,Gondar,1,NA,NA,1,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,72,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,39,2,32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0
258,NA,NA,NA,NA,NA,months,20,5,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,8,yes,4,no,8,good,yes,anthrax vaccine,Gondar,0,NA,NA,0,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,68,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,3,NA,no,no,no,no,no,Peri-urban,NA,39,2,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.6094379124341003
259,NA,NA,NA,NA,NA,months,24,6,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,9,yes,4,no,9,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,88,yes,1,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,38.2,0,32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.791759469228055
260,NA,NA,NA,NA,NA,weeks,2,2,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,no,yes,NA,1,no,NA,NA,9,yes,4,no,7,good,yes,anthrax vaccine,Gondar,1,NA,NA,2,no,Twice/day,yes milk,less than half liter,NORMAL,NA,96,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,39.2,3,28,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0.6931471805599453
261,NA,NA,NA,NA,NA,months,16,4,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,9,yes,3,no,2,good,yes,anthrax vaccine,Gondar,0,NA,NA,0,no,Twice/day,yes milk,less than half liter,NORMAL,NA,76,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,40.2,3,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.3862943611198906
262,NA,NA,NA,NA,NA,months,12,3,NA,NA,Depressed/Lethargic,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,7,yes,3,no,3,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,greater than 1 liter,NORMAL,NA,80,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,40,3,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.0986122886681098
263,NA,NA,NA,NA,NA,months,24,6,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,no,yes,NA,0,no,NA,NA,6,yes,3,no,4,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,greater than 1 liter,NORMAL,NA,88,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,39.8,3,32,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.791759469228055
264,NA,NA,NA,NA,NA,months,20,5,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,6,yes,3,no,6,good,yes,anthrax vaccine,Gondar,0,NA,NA,0,no,Twice/day,yes milk,less than half liter,NORMAL,NA,72,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,39.1,2,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.6094379124341003
265,NA,NA,NA,NA,NA,months,8,2,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,8,yes,3,no,9,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,less than half liter,NORMAL,NA,76,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,39,2,32,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0.6931471805599453
266,NA,NA,NA,NA,NA,months,4,1,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,1,no,NA,NA,10,yes,2,no,8,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,less than half liter,NORMAL,NA,76,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,4,NA,no,no,no,no,no,Peri-urban,NA,37.8,0,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0
267,NA,NA,NA,NA,NA,months,16,4,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,9,yes,4,no,4,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,less than half liter,NORMAL,NA,80,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,3,NA,no,no,no,no,no,Peri-urban,NA,39.4,3,32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,day,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.3862943611198906
268,NA,NA,NA,NA,NA,months,12,3,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,Outside,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,no,yes,NA,0,no,NA,NA,10,yes,3,no,2,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,92,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,3,NA,no,no,no,no,no,Peri-urban,NA,39.1,2,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,yes,twice a day,NA,Normal respiratory sound and heart beat,night,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,1.0986122886681098
269,NA,NA,NA,NA,NA,weeks,2,2,NA,NA,Bright/Alert,NA,NA,yes,yes,yes,In barn,Holstein,Improved/Crossbred,NA,yes,no,no,NA,NA,yes,yes,NA,0,no,NA,NA,7,yes,3,no,6,good,yes,anthrax vaccine,Gondar,0,NA,NA,2,no,Twice/day,yes milk,half to 1 liter,NORMAL,NA,68,yes,0,normal,Normal,NA,NA,NA,no,no,no,NR,no,0,normal,no,NA,NA,NA,2,NA,no,no,no,no,no,Peri-urban,NA,38.8,1,32,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NR,no,no,no,no,no,Artificial Insemination,no,twice a day,NA,Normal respiratory sound and heart beat,night,normal,NA,no,yes,twice a day,no,no,2 times per day,NA,NA,NA,NA,NA,NA,NA,no,1,0.6931471805599453
